"filename", "language", "HTML", "TypeScript", "YAML", "JSON", "CSS", "Vue", "JavaScript", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\index.html", "HTML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\DELL\Desktop\bilibili\package.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\DELL\Desktop\bilibili\pnpm-lock.yaml", "YAML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\DELL\Desktop\bilibili\sdk\lib\libffmpeg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\DELL\Desktop\bilibili\sdk\lib\libffmpeg.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 36863, 0, 1047, 37910
"c:\Users\DELL\Desktop\bilibili\sdk\neplayer_v2.8.5.css", "CSS", 0, 0, 0, 0, 1426, 0, 0, 0, 0, 258, 1684
"c:\Users\DELL\Desktop\bilibili\sdk\neplayer_v2.8.5.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\DELL\Desktop\bilibili\src\api\charts\index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 8, 0, 20
"c:\Users\DELL\Desktop\bilibili\src\api\charts\type.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 60
"c:\Users\DELL\Desktop\bilibili\src\api\dynamic\type.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\DELL\Desktop\bilibili\src\api\live\index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 18, 0, 40
"c:\Users\DELL\Desktop\bilibili\src\api\live\type.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\DELL\Desktop\bilibili\src\api\mark\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 4, 0, 12
"c:\Users\DELL\Desktop\bilibili\src\api\mark\type.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\DELL\Desktop\bilibili\src\api\partition\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"c:\Users\DELL\Desktop\bilibili\src\api\partition\type.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\DELL\Desktop\bilibili\src\api\user\index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 10, -1, 19
"c:\Users\DELL\Desktop\bilibili\src\api\user\type.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, -2, 46
"c:\Users\DELL\Desktop\bilibili\src\api\video\index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 16, 0, 32
"c:\Users\DELL\Desktop\bilibili\src\api\video\type.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 1, 0, 77
"c:\Users\DELL\Desktop\bilibili\src\components\charts\index.vue", "Vue", 0, 0, 0, 0, 0, 206, 0, 0, 0, 3, 209
"c:\Users\DELL\Desktop\bilibili\src\components\outerVideo\index.vue", "Vue", 0, 0, 0, 0, 0, 9, 0, 0, 0, -2, 7
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 0, 0, 19, 86, 540
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\demo_index.html", "HTML", 271, 0, 0, 0, 0, 0, 0, 0, 2, 31, 304
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\iconfont.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\iconfont.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 0, 0, 19, 86, 540
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\demo_index.html", "HTML", 251, 0, 0, 0, 0, 0, 0, 0, 2, 28, 281
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\DELL\Desktop\bilibili\src\layout\tabbar\index.vue", "Vue", 0, 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\DELL\Desktop\bilibili\src\main.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\DELL\Desktop\bilibili\src\router\route.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 57
"c:\Users\DELL\Desktop\bilibili\src\store\modules\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\DELL\Desktop\bilibili\src\views\home\index.vue", "Vue", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\DELL\Desktop\bilibili\src\views\live\index.vue", "Vue", 0, 0, 0, 0, 0, 214, 0, 0, 0, 22, 236
"c:\Users\DELL\Desktop\bilibili\src\views\livingRoom\index.vue", "Vue", 0, 0, 0, 0, 0, 231, 0, 0, 0, 18, 249
"c:\Users\DELL\Desktop\bilibili\src\views\myLivingRoom\index.vue", "Vue", 0, 0, 0, 0, 0, 285, 0, 0, 0, 31, 316
"c:\Users\DELL\Desktop\bilibili\src\views\platform\danmuManager\index.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\platform\home\index.vue", "Vue", 0, 0, 0, 0, 0, 141, 0, 0, 0, 11, 152
"c:\Users\DELL\Desktop\bilibili\src\views\platform\index.vue", "Vue", 0, 0, 0, 0, 0, -43, 0, 0, -1, 3, -41
"c:\Users\DELL\Desktop\bilibili\src\views\platform\markManager\index.vue", "Vue", 0, 0, 0, 0, 0, 156, 0, 0, 0, 10, 166
"c:\Users\DELL\Desktop\bilibili\src\views\platform\menu\index.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, -1, 12
"c:\Users\DELL\Desktop\bilibili\src\views\platform\upload\index.vue", "Vue", 0, 0, 0, 0, 0, 385, 0, 0, 3, 33, 421
"c:\Users\DELL\Desktop\bilibili\src\views\platform\videoManager\index.vue", "Vue", 0, 0, 0, 0, 0, 150, 0, 0, 0, 17, 167
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\fan\index.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 9, 133
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\follow\index.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 9, 133
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\index.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 57
"c:\Users\DELL\Desktop\bilibili\src\views\space\index.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, -1, 12
"c:\Users\DELL\Desktop\bilibili\src\views\space\tougao\index.vue", "Vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, -2, 37
"c:\Users\DELL\Desktop\bilibili\src\views\video\index.vue", "Vue", 0, 0, 0, 0, 0, 994, 0, 0, 1, 94, 1089
"c:\Users\DELL\Desktop\bilibili\vite.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 10
"Total", "-", 524, 422, 17, 82, 2349, 3156, 4, 36863, 110, 1824, 45351